Municipality,Gouvernerat,Population
منزل النور,ولاية المنستير,11772
مارث,ولاية قابس,11678
قصيبة الثريات,ولاية سوسة,11623
عقارب,ولاية صفاقس,11513
الرقاب,ولاية سيدي بوزيد,11420
سيدي ثابت,ولاية أريانة,11351
خنيس,ولاية المنستير,11229
النفيضة,ولاية سوسة,10990
رجيش,ولاية المهدية,10806
المطوية,ولاية قابس,10716
حاجب العيون,ولاية القيروان,10621
قعفور,ولاية سليانة,10399
سيدي بوعلي,ولاية سوسة,10282
وذرف,ولاية قابس,9932
بوفيشة,ولاية سوسة,9931
الماتلين,ولاية بنزرت,9904
رفراف,ولاية بنزرت,9850
الجريصة,ولاية الكاف,9807
فوشانة,ولاية بن عروس,"قالب:9,733:formatnum"
عين دراهم,ولاية جندوبة,9659
غمراسن,ولاية تطاوين,9568
السند,ولاية قفصة,9533
الهوارية,ولاية نابل,9508
تازركة,ولاية نابل,9388
سيدي علي بن عون,ولاية سيدي بوزيد,9297
حمام الأغزاز,ولاية نابل,9076
الوسلاتية,ولاية القيروان,9006
بني حسان,ولاية المنستير,8801
خليدية,ولاية بن عروس,8470
منزل كامل,ولاية المنستير,8432
حفوز,ولاية القيروان,8429
سيدي عامر,ولاية المنستير,8404
بئر المشارقة,ولاية زغوان,8329
قلعة سنان,ولاية الكاف,8145
عميرة الحجاج,ولاية المنستير,8121
المعمورة,ولاية نابل,8039
السبيخة,ولاية القيروان,8036
بئر الأحمر,ولاية تطاوين,7955
القلعة,ولاية قبلي,7912
دقاش,ولاية توزر,7893
زاوية الجديدي,ولاية نابل,7862
الكريب,ولاية سليانة,7841
بو حجلة,ولاية القيروان,7828
المعقولة,ولاية باجة,7809
فوسانة,ولاية القصرين,7703
الحنشة,ولاية صفاقس,7575
الناظور,ولاية زغوان,7567
مطماطة الجديدة,ولاية قابس,7526
سيدي علوان,ولاية المهدية,7500
كركر,ولاية المهدية,7467
هرقلة,ولاية سوسة,7419
البرادعة,ولاية المهدية,7404
المزونة,ولاية سيدي بوزيد,7390
